Province,City,Year,Month,Day,Weather,Max Temperature (℃),Min Temperature (℃),Rainfall (mm),Snowfall (cm)
Seoul Gyeonggi,Seoul,2018,10,17,Sunny,18.6,8.4,0,0
Seoul Gyeonggi,Seoul,2018,10,18,Partly Cloudy,19,7.5,0,0
Seoul Gyeonggi,Seoul,2018,10,19,Sunny,20.4,7.2,0,0
Seoul Gyeonggi,Seoul,2018,10,20,Sunny,21.4,6.9,0,0
Seoul Gyeonggi,Seoul,2018,10,21,Sunny,21.1,7.2,0,0
Seoul Gyeonggi,Seoul,2018,10,22,Partly Cloudy,20.6,8.8,0,0
Seoul Gyeonggi,Seoul,2018,10,23,Rainy,16.9,9.8,5,0
Seoul Gyeonggi,Seoul,2018,10,24,Sunny,18.7,7.6,0,0
Seoul Gyeonggi,Seoul,2018,10,25,Partly Cloudy,21.2,7,0,0
Seoul Gyeonggi,Seoul,2018,10,26,Rainy,14.7,9.9,11,0
Seoul Gyeonggi,Seoul,2018,10,27,Sunny,11.6,6.2,0,0
Seoul Gyeonggi,Seoul,2018,10,28,Rainy,13.5,5.2,5.5,0
Seoul Gyeonggi,Seoul,2018,10,29,Mostly Cloudy,11.7,3.4,0,0
Seoul Gyeonggi,Seoul,2018,10,30,Partly Cloudy,11.6,0.7,0,0
Seoul Gyeonggi,Seoul,2018,10,31,Sunny,12.6,3,0,0
Seoul Gyeonggi,Seoul,2018,11,1,Sunny,15.2,2.5,0,0
Seoul Gyeonggi,Seoul,2018,11,2,Sunny,19,4,0,0
Seoul Gyeonggi,Seoul,2018,11,3,Sunny,19.1,5,0,0
Seoul Gyeonggi,Seoul,2018,11,4,Sunny,19.4,5.3,0,0
Seoul Gyeonggi,Seoul,2018,11,5,Partly Cloudy,18.3,6.6,0,0
Seoul Gyeonggi,Seoul,2018,11,6,Mostly Cloudy,17.5,8,0,0
Seoul Gyeonggi,Seoul,2018,11,7,Rainy,15.7,10.3,2,0
Seoul Gyeonggi,Seoul,2018,11,8,Rainy,14.7,10.5,64,0
Seoul Gyeonggi,Seoul,2018,11,9,Rainy,15.4,9.5,1,0
Seoul Gyeonggi,Seoul,2018,11,10,Partly Cloudy,17.1,8.8,0,0
Seoul Gyeonggi,Seoul,2018,11,11,Mostly Cloudy,10.9,5.4,0,0
Seoul Gyeonggi,Seoul,2018,11,12,Sunny,15.1,3.1,0,0
Seoul Gyeonggi,Seoul,2018,11,13,Sunny,15.4,4.1,0,0
Seoul Gyeonggi,Seoul,2018,11,14,Sunny,16.6,4.8,0,0
Seoul Gyeonggi,Seoul,2018,11,15,Partly Cloudy,16.2,4.7,0,0
Seoul Gyeonggi,Seoul,2018,11,16,Mostly Cloudy,14.5,4.2,0,0
Seoul Gyeonggi,Seoul,2018,11,17,Partly Cloudy,11.4,0.6,0,0
Seoul Gyeonggi,Seoul,2018,11,18,Mostly Cloudy,10.7,1.9,0,0
Seoul Gyeonggi,Seoul,2018,11,19,Sunny,11.3,3.3,0,0
Seoul Gyeonggi,Seoul,2018,11,20,Rainy,12.7,0,0.2,0
Seoul Gyeonggi,Seoul,2018,11,21,Rainy,8.2,3.1,1,0
Seoul Gyeonggi,Seoul,2018,11,22,Sunny,7.1,-1.3,0,0
Seoul Gyeonggi,Seoul,2018,11,23,Partly Cloudy,7.6,-3.1,0,0
Seoul Gyeonggi,Seoul,2018,11,24,Snowy,3.8,0.3,10.9,8.8
Seoul Gyeonggi,Seoul,2018,11,25,Partly Cloudy,9.8,1.3,0,0
Seoul Gyeonggi,Seoul,2018,11,26,Sunny,13.6,1.6,0,0
Seoul Gyeonggi,Seoul,2018,11,27,Mostly Cloudy,12.5,3.1,0,0
Seoul Gyeonggi,Seoul,2018,11,28,Partly Cloudy,11.1,2.1,0,0
Seoul Gyeonggi,Seoul,2018,11,29,Mostly Cloudy,6.7,0.6,0,0
Seoul Gyeonggi,Seoul,2018,11,30,Sunny,8,-1.5,0,0
Seoul Gyeonggi,Seoul,2018,12,1,Partly Cloudy,12.4,0.8,0,0
Seoul Gyeonggi,Seoul,2018,12,2,Mostly Cloudy,11.8,2.8,0,0
Seoul Gyeonggi,Seoul,2018,12,3,Rainy,13.5,9.3,9.5,0
Seoul Gyeonggi,Seoul,2018,12,4,Rainy,11.8,-0.3,5,0
Seoul Gyeonggi,Seoul,2018,12,5,Mostly Cloudy,3.4,-4.3,0,0
Seoul Gyeonggi,Seoul,2018,12,6,Cloudy,6.8,-1,0,0
Seoul Gyeonggi,Seoul,2018,12,7,Sunny,-1.1,-9.6,0,0
Seoul Gyeonggi,Seoul,2018,12,8,Sunny,-4.4,-11.4,0,0
Seoul Gyeonggi,Seoul,2018,12,9,Sunny,-2.1,-11.8,0,0
Seoul Gyeonggi,Seoul,2018,12,10,Partly Cloudy,4.6,-8.1,0,0
Seoul Gyeonggi,Seoul,2018,12,11,Cloudy,2.9,-2.4,0,0
Seoul Gyeonggi,Seoul,2018,12,12,Sunny,2.4,-5,0,0
Seoul Gyeonggi,Seoul,2018,12,13,Snowy,2.1,-5.9,1.3,1.7
Seoul Gyeonggi,Seoul,2018,12,14,Sunny,0.6,-7.8,0,0
Seoul Gyeonggi,Seoul,2018,12,15,Partly Cloudy,3.2,-7.8,0,0
Seoul Gyeonggi,Seoul,2018,12,16,Snowy,2.1,-2.6,0.3,0.4
Seoul Gyeonggi,Seoul,2018,12,17,Rainy,5.9,-1.5,0.3,0
Seoul Gyeonggi,Seoul,2018,12,18,Partly Cloudy,7.4,-2.8,0,0
Seoul Gyeonggi,Seoul,2018,12,19,Partly Cloudy,9.5,1.3,0,0
Seoul Gyeonggi,Seoul,2018,12,20,Partly Cloudy,10.4,-1.1,0,0
Seoul Gyeonggi,Seoul,2018,12,21,Cloudy,9.8,0.4,0,0
Seoul Gyeonggi,Seoul,2018,12,22,Partly Cloudy,12.4,2.9,0,0
Seoul Gyeonggi,Seoul,2018,12,23,Partly Cloudy,7.5,-3.4,0,0
Seoul Gyeonggi,Seoul,2018,12,24,Sunny,3.1,-5.9,0,0
Seoul Gyeonggi,Seoul,2018,12,25,Mostly Cloudy,5.2,-4,0,0
Seoul Gyeonggi,Seoul,2018,12,26,Partly Cloudy,3,-7.1,0,0
Seoul Gyeonggi,Seoul,2018,12,27,Sunny,-6.5,-12.5,0,0
Seoul Gyeonggi,Seoul,2018,12,28,Sunny,-6.6,-14.4,0,0
Seoul Gyeonggi,Seoul,2018,12,29,Sunny,-3,-10.5,0,0
Seoul Gyeonggi,Seoul,2018,12,30,Sunny,-0.9,-11.3,0,0
Seoul Gyeonggi,Seoul,2018,12,31,Sunny,-0.5,-10.5,0,0
Seoul Gyeonggi,Seoul,2019,1,1,Partly Cloudy,-0.6,-8.2,0,0
Seoul Gyeonggi,Seoul,2019,1,2,Sunny,0.2,-8.8,0,0
Seoul Gyeonggi,Seoul,2019,1,3,Sunny,3.2,-8.4,0,0
Seoul Gyeonggi,Seoul,2019,1,4,Partly Cloudy,4.1,-6.2,0,0
Seoul Gyeonggi,Seoul,2019,1,5,Sunny,1.1,-5.5,0,0
Seoul Gyeonggi,Seoul,2019,1,6,Partly Cloudy,2.7,-6.3,0,0
Seoul Gyeonggi,Seoul,2019,1,7,Partly Cloudy,3.1,-6.2,0,0
Seoul Gyeonggi,Seoul,2019,1,8,Sunny,0.5,-7.2,0,0
Seoul Gyeonggi,Seoul,2019,1,9,Partly Cloudy,1.3,-9.4,0,0
Seoul Gyeonggi,Seoul,2019,1,10,Cloudy,3,-4.5,0,0
Seoul Gyeonggi,Seoul,2019,1,11,Mostly Cloudy,7.2,-0.4,0,0
Seoul Gyeonggi,Seoul,2019,1,12,Partly Cloudy,8,-0.6,0,0
Seoul Gyeonggi,Seoul,2019,1,13,Sunny,7.6,-3,0,0
Seoul Gyeonggi,Seoul,2019,1,14,Partly Cloudy,5.3,-2.4,0,0
Seoul Gyeonggi,Seoul,2019,1,15,Partly Cloudy,2.6,-7.2,0,0
Seoul Gyeonggi,Seoul,2019,1,16,Partly Cloudy,-1.1,-10.1,0,0
Seoul Gyeonggi,Seoul,2019,1,17,Sunny,4,-3.2,0,0
Seoul Gyeonggi,Seoul,2019,1,18,Partly Cloudy,6.7,-4.6,0,0
Seoul Gyeonggi,Seoul,2019,1,19,Cloudy,8.5,0,0,0
Seoul Gyeonggi,Seoul,2019,1,20,Sunny,4,-5.5,0,0
Seoul Gyeonggi,Seoul,2019,1,21,Partly Cloudy,4.2,-6.7,0,0
Seoul Gyeonggi,Seoul,2019,1,22,Sunny,7.1,-3.3,0,0
Seoul Gyeonggi,Seoul,2019,1,23,Sunny,7,-0.8,0,0
Seoul Gyeonggi,Seoul,2019,1,24,Sunny,6.5,-4.6,0,0
Seoul Gyeonggi,Seoul,2019,1,25,Sunny,2.6,-3.8,0,0
Seoul Gyeonggi,Seoul,2019,1,26,Sunny,2.4,-6.5,0,0
Seoul Gyeonggi,Seoul,2019,1,27,Partly Cloudy,5.1,-6.6,0,0
Seoul Gyeonggi,Seoul,2019,1,28,Sunny,4.5,-2.4,0,0
Seoul Gyeonggi,Seoul,2019,1,29,Sunny,7,-5.6,0,0
Seoul Gyeonggi,Seoul,2019,1,30,Mostly Cloudy,6.6,-2.8,0,0
Seoul Gyeonggi,Seoul,2019,1,31,Mostly Cloudy,2.3,-6.2,0,0
Seoul Gyeonggi,Seoul,2019,2,1,Snowy,2.8,-7.4,0.3,0.2
Seoul Gyeonggi,Seoul,2019,2,2,Mostly Cloudy,6.1,-3.2,0,0
Seoul Gyeonggi,Seoul,2019,2,3,Rainy,4.9,2,16,0
Seoul Gyeonggi,Seoul,2019,2,4,Sunny,3,-3.3,0,0
Seoul Gyeonggi,Seoul,2019,2,5,Partly Cloudy,10.1,-3.6,0,0
Seoul Gyeonggi,Seoul,2019,2,6,Cloudy,9.3,0.1,0,0
Seoul Gyeonggi,Seoul,2019,2,7,Rainy,6.3,-8.2,0.5,0
Seoul Gyeonggi,Seoul,2019,2,8,Mostly Cloudy,-1.3,-10.2,0,0
Seoul Gyeonggi,Seoul,2019,2,9,Partly Cloudy,-1.9,-8.6,0,0
Seoul Gyeonggi,Seoul,2019,2,10,Mostly Cloudy,-1.9,-9.1,0,0
Seoul Gyeonggi,Seoul,2019,2,11,Sunny,2,-7.5,0,0
Seoul Gyeonggi,Seoul,2019,2,12,Mostly Cloudy,3.7,-4.1,0,0
Seoul Gyeonggi,Seoul,2019,2,13,Sunny,2.5,-5.7,0,0
Seoul Gyeonggi,Seoul,2019,2,14,Partly Cloudy,6.3,-5.9,0,0
Seoul Gyeonggi,Seoul,2019,2,15,Snowy,0.9,-2.9,2.2,2.4
Seoul Gyeonggi,Seoul,2019,2,16,Snowy,1.5,-5.1,0.2,0.3
Seoul Gyeonggi,Seoul,2019,2,17,Sunny,4.6,-6.8,0,0
Seoul Gyeonggi,Seoul,2019,2,18,Mostly Cloudy,5.9,-4.7,0,0
Seoul Gyeonggi,Seoul,2019,2,19,Snowy,3,0.2,4.6,3.3
Seoul Gyeonggi,Seoul,2019,2,20,Mostly Cloudy,4.5,-0.1,0,0
Seoul Gyeonggi,Seoul,2019,2,21,Sunny,9,-2.6,0,0
Seoul Gyeonggi,Seoul,2019,2,22,Partly Cloudy,10.8,-1.6,0,0
Seoul Gyeonggi,Seoul,2019,2,23,Partly Cloudy,14.5,0.5,0,0
Seoul Gyeonggi,Seoul,2019,2,24,Sunny,13.7,1.2,0,0
Seoul Gyeonggi,Seoul,2019,2,25,Partly Cloudy,10.2,1.3,0,0
Seoul Gyeonggi,Seoul,2019,2,26,Partly Cloudy,12,-1.5,0,0
Seoul Gyeonggi,Seoul,2019,2,27,Mostly Cloudy,14,4.7,0,0
Seoul Gyeonggi,Seoul,2019,2,28,Partly Cloudy,12.8,2,0,0
Seoul Gyeonggi,Seoul,2019,3,1,Sunny,13,1.2,0,0
Seoul Gyeonggi,Seoul,2019,3,2,Mostly Cloudy,14.7,1.3,0,0
Seoul Gyeonggi,Seoul,2019,3,3,Partly Cloudy,16.1,2.5,0,0
Seoul Gyeonggi,Seoul,2019,3,4,Sunny,16.3,5,0,0
Seoul Gyeonggi,Seoul,2019,3,5,Cloudy,12.9,5.6,0,0
Seoul Gyeonggi,Seoul,2019,3,6,Mostly Cloudy,12.4,5.7,0,0
Seoul Gyeonggi,Seoul,2019,3,7,Sunny,12.7,3.1,0,0
Seoul Gyeonggi,Seoul,2019,3,8,Sunny,13.4,0.6,0,0
Seoul Gyeonggi,Seoul,2019,3,9,Partly Cloudy,14.9,-0.4,0,0
Seoul Gyeonggi,Seoul,2019,3,10,Mostly Cloudy,15.3,6.7,0,0
Seoul Gyeonggi,Seoul,2019,3,11,Partly Cloudy,10,3.5,0,0
Seoul Gyeonggi,Seoul,2019,3,12,Partly Cloudy,7.9,-0.3,0,0
Seoul Gyeonggi,Seoul,2019,3,13,Sunny,8.5,-0.4,0,0
Seoul Gyeonggi,Seoul,2019,3,14,Partly Cloudy,10,-1.7,0,0
Seoul Gyeonggi,Seoul,2019,3,15,Rainy,11.3,1.6,3.5,0
Seoul Gyeonggi,Seoul,2019,3,16,Partly Cloudy,9.2,0.2,0,0
Seoul Gyeonggi,Seoul,2019,3,17,Sunny,12.4,2.6,0,0
Seoul Gyeonggi,Seoul,2019,3,18,Mostly Cloudy,14.4,1.4,0,0
Seoul Gyeonggi,Seoul,2019,3,19,Sunny,16.7,3.4,0,0
Seoul Gyeonggi,Seoul,2019,3,20,Rainy,14.6,7.1,16.5,0
Seoul Gyeonggi,Seoul,2019,3,21,Rainy,11.1,1.9,3.3,0
Seoul Gyeonggi,Seoul,2019,3,22,Sunny,8.3,-0.7,0,0
Seoul Gyeonggi,Seoul,2019,3,23,Rainy,8.2,-0.4,1.7,0
Seoul Gyeonggi,Seoul,2019,3,24,Sunny,9.7,-0.8,0,0
Seoul Gyeonggi,Seoul,2019,3,25,Mostly Cloudy,11.5,2.9,0,0
Seoul Gyeonggi,Seoul,2019,3,26,Partly Cloudy,17.6,7.4,0,0
Seoul Gyeonggi,Seoul,2019,3,27,Cloudy,16.2,8.9,0,0
Seoul Gyeonggi,Seoul,2019,3,28,Mostly Cloudy,14.6,5.6,0,0
Seoul Gyeonggi,Seoul,2019,3,29,Partly Cloudy,15.1,5.5,0,0
Seoul Gyeonggi,Seoul,2019,3,30,Rainy,8.4,3.5,1.8,0
Seoul Gyeonggi,Seoul,2019,3,31,Partly Cloudy,8.4,2.6,0,0
Seoul Gyeonggi,Seoul,2019,4,1,Sunny,11.3,0.3,0,0
Seoul Gyeonggi,Seoul,2019,4,2,Sunny,13,1.3,0,0
Seoul Gyeonggi,Seoul,2019,4,3,Sunny,13.6,1.9,0,0
Seoul Gyeonggi,Seoul,2019,4,4,Sunny,15.7,3,0,0
Seoul Gyeonggi,Seoul,2019,4,5,Partly Cloudy,17.2,7,0,0
Seoul Gyeonggi,Seoul,2019,4,6,Rainy,12.2,5.9,0.8,0
Seoul Gyeonggi,Seoul,2019,4,7,Partly Cloudy,20.3,5.6,0,0
Seoul Gyeonggi,Seoul,2019,4,8,Partly Cloudy,17.2,7.6,0,0
Seoul Gyeonggi,Seoul,2019,4,9,Rainy,13.9,4.7,17.4,0
Seoul Gyeonggi,Seoul,2019,4,10,Rainy,10.2,4.7,5.6,0
Seoul Gyeonggi,Seoul,2019,4,11,Partly Cloudy,15.7,4.3,0,0
Seoul Gyeonggi,Seoul,2019,4,12,Sunny,18.4,5.5,0,0
Seoul Gyeonggi,Seoul,2019,4,13,Mostly Cloudy,17.9,6.2,0,0
Seoul Gyeonggi,Seoul,2019,4,14,Rainy,13.6,6.9,1.7,0
Seoul Gyeonggi,Seoul,2019,4,15,Sunny,18.1,3.9,0,0
Seoul Gyeonggi,Seoul,2019,4,16,Partly Cloudy,22.6,6.8,0,0
Seoul Gyeonggi,Seoul,2019,4,17,Partly Cloudy,21.8,9.1,0,0
Seoul Gyeonggi,Seoul,2019,4,18,Mostly Cloudy,16.2,10.4,0,0
Seoul Gyeonggi,Seoul,2019,4,19,Partly Cloudy,19.7,9.6,0,0
Seoul Gyeonggi,Seoul,2019,4,20,Rainy,19.1,9.7,1.2,0
Seoul Gyeonggi,Seoul,2019,4,21,Rainy,20.2,12.2,0.3,0
Seoul Gyeonggi,Seoul,2019,4,22,Sunny,28.2,10.7,0,0
Seoul Gyeonggi,Seoul,2019,4,23,Cloudy,25.5,15.3,0,0
Seoul Gyeonggi,Seoul,2019,4,24,Rainy,25.9,15.8,4.1,0
Seoul Gyeonggi,Seoul,2019,4,25,Rainy,17.2,9.4,11.3,0
Seoul Gyeonggi,Seoul,2019,4,26,Rainy,9.9,6.2,4.9,0
Seoul Gyeonggi,Seoul,2019,4,27,Partly Cloudy,18.2,4.1,0,0
Seoul Gyeonggi,Seoul,2019,4,28,Cloudy,16.6,9.9,0,0
Seoul Gyeonggi,Seoul,2019,4,29,Mostly Cloudy,17.3,8.3,0,0
Seoul Gyeonggi,Seoul,2019,4,30,Partly Cloudy,22.5,9,0,0
Seoul Gyeonggi,Seoul,2019,5,1,Sunny,22.2,11.2,0,0
Seoul Gyeonggi,Seoul,2019,5,2,Sunny,25.3,10.6,0,0
Seoul Gyeonggi,Seoul,2019,5,3,Sunny,26.1,10.1,0,0
Seoul Gyeonggi,Seoul,2019,5,4,Partly Cloudy,27.4,12,0,0
Seoul Gyeonggi,Seoul,2019,5,5,Partly Cloudy,26.5,13.6,0,0
Seoul Gyeonggi,Seoul,2019,5,6,Sunny,19.8,9.8,0,0
Seoul Gyeonggi,Seoul,2019,5,7,Sunny,21.9,8.4,0,0
Seoul Gyeonggi,Seoul,2019,5,8,Mostly Cloudy,21.3,10.1,0,0
Seoul Gyeonggi,Seoul,2019,5,9,Partly Cloudy,22.9,11.7,0,0
Seoul Gyeonggi,Seoul,2019,5,10,Partly Cloudy,26.8,10.3,0,0
Seoul Gyeonggi,Seoul,2019,5,11,Sunny,28.3,13.2,0,0
Seoul Gyeonggi,Seoul,2019,5,12,Partly Cloudy,28.9,14.7,0,0
Seoul Gyeonggi,Seoul,2019,5,13,Cloudy,22.8,15.5,0,0
Seoul Gyeonggi,Seoul,2019,5,14,Sunny,26.9,12.9,0,0
Seoul Gyeonggi,Seoul,2019,5,15,Partly Cloudy,28,14.8,0,0
Seoul Gyeonggi,Seoul,2019,5,16,Sunny,30,16.7,0,0
Seoul Gyeonggi,Seoul,2019,5,17,Mostly Cloudy,28.3,17.6,0,0
Seoul Gyeonggi,Seoul,2019,5,18,Cloudy,25.9,19.1,0,0
Seoul Gyeonggi,Seoul,2019,5,19,Rainy,21.6,17.9,22,0
Seoul Gyeonggi,Seoul,2019,5,20,Rainy,20.2,13,8.7,0
Seoul Gyeonggi,Seoul,2019,5,21,Sunny,23.8,11.7,0,0
Seoul Gyeonggi,Seoul,2019,5,22,Sunny,26.5,12.3,0,0
Seoul Gyeonggi,Seoul,2019,5,23,Sunny,29.2,15,0,0
Seoul Gyeonggi,Seoul,2019,5,24,Sunny,33.4,16.2,0,0
Seoul Gyeonggi,Seoul,2019,5,25,Cloudy,28.6,18.4,0,0
Seoul Gyeonggi,Seoul,2019,5,26,Mostly Cloudy,31.1,18.6,0,0
Seoul Gyeonggi,Seoul,2019,5,27,Rainy,22.3,14.3,7.1,0
Seoul Gyeonggi,Seoul,2019,5,28,Sunny,24.6,11.9,0,0
Seoul Gyeonggi,Seoul,2019,5,29,Sunny,26.5,13.3,0,0
Seoul Gyeonggi,Seoul,2019,5,30,Cloudy,24.5,14.6,0,0
Seoul Gyeonggi,Seoul,2019,5,31,Sunny,23.3,16.1,0,0
Seoul Gyeonggi,Seoul,2019,6,1,Partly Cloudy,23.7,14.8,0,0
Seoul Gyeonggi,Seoul,2019,6,2,Sunny,27.8,14.1,0,0
Seoul Gyeonggi,Seoul,2019,6,3,Sunny,29.5,16,0,0
Seoul Gyeonggi,Seoul,2019,6,4,Partly Cloudy,29,17.6,0,0
Seoul Gyeonggi,Seoul,2019,6,5,Partly Cloudy,29.6,17.8,0,0
Seoul Gyeonggi,Seoul,2019,6,6,Rainy,25.1,18.6,7.5,0
Seoul Gyeonggi,Seoul,2019,6,7,Rainy,24.7,17,35.3,0
Seoul Gyeonggi,Seoul,2019,6,8,Mostly Cloudy,27.6,16,0,0
Seoul Gyeonggi,Seoul,2019,6,9,Rainy,26.5,17.1,2.5,0
Seoul Gyeonggi,Seoul,2019,6,10,Rainy,21.9,15.7,9.5,0
Seoul Gyeonggi,Seoul,2019,6,11,Partly Cloudy,26.1,15.5,0,0
Seoul Gyeonggi,Seoul,2019,6,12,Sunny,26.4,16.1,0,0
Seoul Gyeonggi,Seoul,2019,6,13,Partly Cloudy,28.8,16.6,0,0
Seoul Gyeonggi,Seoul,2019,6,14,Mostly Cloudy,28.4,19.1,0,0
Seoul Gyeonggi,Seoul,2019,6,15,Rainy,27.4,17.9,2.1,0
Seoul Gyeonggi,Seoul,2019,6,16,Partly Cloudy,27.2,16.1,0,0
Seoul Gyeonggi,Seoul,2019,6,17,Partly Cloudy,26.2,18.1,0,0
Seoul Gyeonggi,Seoul,2019,6,18,Rainy,24.8,17,13.8,0
Seoul Gyeonggi,Seoul,2019,6,19,Rainy,25.4,18.9,0.2,0
Seoul Gyeonggi,Seoul,2019,6,20,Cloudy,27.8,19.8,0,0
Seoul Gyeonggi,Seoul,2019,6,21,Rainy,26.1,19.4,0.2,0
Seoul Gyeonggi,Seoul,2019,6,22,Sunny,30.6,17.7,0,0
Seoul Gyeonggi,Seoul,2019,6,23,Partly Cloudy,31,19.1,0,0
Seoul Gyeonggi,Seoul,2019,6,24,Sunny,30.9,20.9,0,0
Seoul Gyeonggi,Seoul,2019,6,25,Sunny,32.8,19.5,0,0
Seoul Gyeonggi,Seoul,2019,6,26,Cloudy,29.5,20.7,0,0
Seoul Gyeonggi,Seoul,2019,6,27,Rainy,31.2,21.9,1.4,0
Seoul Gyeonggi,Seoul,2019,6,28,Cloudy,29,22.3,0,0
Seoul Gyeonggi,Seoul,2019,6,29,Rainy,27.7,19.6,1.5,0
Seoul Gyeonggi,Seoul,2019,6,30,Mostly Cloudy,28.5,20.9,0,0
Seoul Gyeonggi,Seoul,2019,7,1,Partly Cloudy,28.9,20.6,0,0
Seoul Gyeonggi,Seoul,2019,7,2,Partly Cloudy,30.1,20.8,0,0
Seoul Gyeonggi,Seoul,2019,7,3,Mostly Cloudy,27.4,21.2,0,0
Seoul Gyeonggi,Seoul,2019,7,4,Sunny,32.8,20,0,0
Seoul Gyeonggi,Seoul,2019,7,5,Partly Cloudy,35,20.2,0,0
Seoul Gyeonggi,Seoul,2019,7,6,Partly Cloudy,36.1,24.6,0,0
Seoul Gyeonggi,Seoul,2019,7,7,Mostly Cloudy,32.5,22.7,0,0
Seoul Gyeonggi,Seoul,2019,7,8,Mostly Cloudy,31,21.2,0,0
Seoul Gyeonggi,Seoul,2019,7,9,Partly Cloudy,30,19.7,0,0
Seoul Gyeonggi,Seoul,2019,7,10,Rainy,27.3,19.3,8.5,0
Seoul Gyeonggi,Seoul,2019,7,11,Rainy,25.9,19.5,2.9,0
Seoul Gyeonggi,Seoul,2019,7,12,Mostly Cloudy,28.7,20,0,0
Seoul Gyeonggi,Seoul,2019,7,13,Mostly Cloudy,29.7,22.1,0,0
Seoul Gyeonggi,Seoul,2019,7,14,Partly Cloudy,31.6,21.2,0,0
Seoul Gyeonggi,Seoul,2019,7,15,Rainy,27.4,22.1,7.7,0
Seoul Gyeonggi,Seoul,2019,7,16,Rainy,28.8,21.4,6.3,0
Seoul Gyeonggi,Seoul,2019,7,17,Rainy,29.2,22.3,0.7,0
Seoul Gyeonggi,Seoul,2019,7,18,Mostly Cloudy,32.1,23.3,0,0
Seoul Gyeonggi,Seoul,2019,7,19,Partly Cloudy,35,22.8,0,0
